Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Total patches,Total bytes,Avg b/patch,Avg patches/sent,Premium vs EN
dzo,Tibt,dzon1239,Dzongkha,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Southern Tibetic > Dzongkhic > Nuclear Dzongkhic,Sino-Tibetan > Bodic > Southern Tibetic,Dzongkha,dzo_Tibt,997,114034,463530,4.0648,114.3771,4.719
ekk,Latn,esto1258,Estonian,,Uralic,Finnic,Coastal Finnic,Uralic > Finnic > Coastal Finnic > Neva > Central Finnic,Uralic > Finnic > Central Finnic,Estonian,ekk_Latn,997,100615,126904,1.2613,100.9178,4.1637
ell,Grek,mode1248,Greek,,Indo-European,Classical Indo-European,Graeco-Phrygian,Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Koineic Greek > Modern Koineic Greek > Nuclear Modern Greek,Indo-European > Graeco-Phrygian,Greek,ell_Grek,997,72029,273289,3.7942,72.2457,2.9807
eng,Latn,stan1293,English,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English,Indo-European > Germanic > West Germanic > North Sea Germanic,English,eng_Latn,997,24165,125290,5.1848,24.2377,1.0
epo,Latn,espe1235,Esperanto,,Artificial Language,Esperantic,,Artificial Language > Esperantic,Artificial Language > Esperantic,Esperanto,epo_Latn,997,93874,127618,1.3595,94.1565,3.8847
eus,Latn,basq1248,Basque,,Isolate,,,Isolate,Isolate,Basque,eus_Latn,997,109480,133948,1.2235,109.8094,4.5305
ewe,Latn,ewee1241,Ewe,,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Western Gbe > Eweic,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Western Gbe,Ewe,ewe_Latn,997,115092,134720,1.1705,115.4383,4.7628
fao,Latn,faro1244,Faroese,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Indo-European > Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Faroese,fao_Latn,997,107066,137496,1.2842,107.3882,4.4306
fij,Latn,fiji1243,Fijian,,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokalau Fijian > Eastern Fijian > Nuclear Eastern Fijian > Viwa-Lomaiviti-East Viti Levu,Austronesian > Eastern Malayo-Polynesian > Eastern Fijian,Fijian,fij_Latn,997,106235,146344,1.3775,106.5547,4.3962
fil,Latn,fili1244,Filipino,,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Tagalogic > Tagalog-Filipino,Austronesian > Greater Central Philippine > Tagalogic,Filipino,fil_Latn,997,89754,157727,1.7573,90.0241,3.7142
fin,Latn,finn1318,Finnish,,Uralic,Finnic,Coastal Finnic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish,Uralic > Finnic > North Finnic,Finnish,fin_Latn,997,64576,139165,2.1551,64.7703,2.6723
fon,Latn,fonn1241,Fon,,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Eastern Gbe > Fongbeic,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Eastern Gbe,Fon,fon_Latn,997,133828,158067,1.1811,134.2307,5.5381
fra,Latn,stan1290,French,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Global French,French,fra_Latn,997,36819,154573,4.1982,36.9298,1.5237
fur,Latn,east2271,Friulian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Friulian,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Friulian,Friulian,fur_Latn,997,80104,142201,1.7752,80.345,3.3149
fuv,Latn,nige1253,Nigerian Fulfulde,,Atlantic-Congo,North-Central Atlantic,Fula-Sereer,Atlantic-Congo > North-Central Atlantic > Fula-Sereer > Fula > Eastern Fula,Atlantic-Congo > North-Central Atlantic > Fula-Sereer,Nigerian Fulfulde,fuv_Latn,997,94095,120829,1.2841,94.3781,3.8939
