Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Script_Name,Script_Type,Script_Tier,Bytes_Per_Char,cc_pages,cc_urls,prem_raw_entropy_t_1.1904,prem_raw_entropy_t_1.3340,prem_raw_entropy_t_1.4946,prem_raw_entropy_t_1.7988,prem_raw_monotonicity_t_0.2359,prem_raw_monotonicity_t_0.3662,prem_raw_monotonicity_t_0.5928,prem_raw_monotonicity_t_0.9496,prem_raw_combined_t_0.2359,prem_raw_combined_t_0.3662,prem_raw_combined_t_0.5928,prem_raw_combined_t_0.9496,prem_norm_entropy_t_0.4072,prem_norm_entropy_t_0.5293,prem_norm_entropy_t_0.7222,prem_norm_entropy_t_1.0371,prem_norm_monotonicity_t_0.2480,prem_norm_monotonicity_t_0.3887,prem_norm_monotonicity_t_0.6260,prem_norm_monotonicity_t_1.0039,prem_norm_combined_t_0.2480,prem_norm_combined_t_0.3887,prem_norm_combined_t_0.6260,prem_norm_combined_t_1.0039
isl,Latn,icel1247,Icelandic,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Indo-European > Germanic > North Germanic > West Scandinavian > Icelandic-Faroese,Icelandic,isl_Latn,997,Latin,Alphabet,1,1 byte,77405745,76854819,3.4301,3.7461,4.1436,4.7418,1.4688,1.3842,1.2033,0.9255,2.206,1.9403,1.5305,1.0171,1.3761,1.2146,0.9676,0.7582,1.5595,1.5264,1.4257,1.2359,1.3521,1.2956,1.1756,0.9556
ita,Latn,ital1282,Italian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Indo-European > Italic > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance,Italian,ita_Latn,997,Latin,Alphabet,1,1 byte,4769480161,4737665600,1.878,1.8417,1.8028,1.683,1.4432,1.4119,1.3258,1.2236,1.5559,1.4998,1.4017,1.2638,1.3091,1.2869,1.2558,1.2068,1.4433,1.4106,1.3274,1.2226,1.3329,1.3115,1.2618,1.1775
jav,Latn,java1254,Javanese,,Austronesian,Malayo-Polynesian,Javanesic,Austronesian > Malayo-Polynesian > Javanesic > Modern Javanese > Global Javanese,Austronesian > Javanesic,Javanese,jav_Latn,997,Latin,Alphabet,1,1 byte,4250233,4240636,3.0225,3.2238,3.4171,3.4815,1.5413,1.548,1.4931,1.2275,2.2337,2.1052,1.8624,1.3418,1.328,1.2631,1.1138,0.8872,1.5713,1.5998,1.5902,1.4597,1.5761,1.5648,1.5115,1.3106
jpn,Jpan,nucl1643,Japanese,,Japonic,Japanesic,Japan-Taiwan Japanese,Japonic > Japanesic > Japan-Taiwan Japanese,Japonic,Japanese,jpn_Jpan,997,Japanese,Logographic,3,3 bytes,9870174960,9822995554,1.9134,1.8888,1.9254,1.8456,1.8852,1.8668,1.7539,1.5501,1.9049,1.8757,1.8126,1.6119,1.4402,1.4255,1.3331,1.1252,1.8817,1.8582,1.7369,1.5277,1.5736,1.5613,1.533,1.4165
kab,Latn,kaby1243,Kabyle,,Afro-Asiatic,Berber,Kabyle-Atlas Berber,Afro-Asiatic > Berber > Kabyle-Atlas Berber,Afro-Asiatic > Berber > Kabyle-Atlas Berber,Kabyle,kab_Latn,997,Latin,Alphabet,1,1 byte,,,3.4282,3.7648,4.1957,4.9932,1.4533,1.398,1.2406,0.9557,2.2038,1.976,1.5931,1.0596,1.3733,1.2394,1.0151,0.7502,1.5338,1.5229,1.4554,1.2898,1.4292,1.3808,1.2704,1.0417
kac,Latn,kach1280,Jingpho,,Sino-Tibetan,Brahmaputran,Jingpho-Luish,Sino-Tibetan > Brahmaputran > Jingpho-Luish > Jingpho,Sino-Tibetan > Brahmaputran > Jingpho-Luish,Jingpho,kac_Latn,997,Latin,Alphabet,1,1 byte,,,3.803,4.0952,4.4234,4.6668,1.9377,1.9448,1.8316,1.4277,2.8742,2.7028,2.3272,1.5746,1.6889,1.6394,1.5015,1.1307,1.9868,2.0335,2.0108,1.8018,2.0545,2.035,1.9326,1.6133
kam,Latn,kamb1297,Kamba,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Kamba-Dhaisu,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Kamba-Dhaisu,Kamba,kam_Latn,997,Latin,Alphabet,1,1 byte,,,3.1754,3.4477,3.7769,4.2,1.4937,1.4541,1.3016,0.9663,2.2311,2.0295,1.6557,1.0623,1.3229,1.2342,1.047,0.7834,1.5584,1.5595,1.4939,1.3011,1.476,1.4339,1.3261,1.0763
kan,Knda,nucl1305,Kannada,,Dravidian,South Dravidian,South Dravidian I,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Badaga-Kannada > Kannadoid > Nuclear Kannaoid,Dravidian > South Dravidian I > Badaga-Kannada,Kannada,kan_Knda,997,Kannada,Abugida,3,3 bytes,23282397,23203388,3.301,3.4011,3.6246,4.0018,4.3525,4.4329,4.4106,4.2952,4.5865,4.6665,4.7533,4.5859,2.8236,2.9415,3.1061,3.251,4.2904,4.3307,4.2106,4.0669,4.0381,4.13,4.2713,4.3105
kas,Arab,kash1277,Kashmiri (Arabic script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Kashmiri (Arabic),kas_Arab,997,Arabic,Abjad,2,2 bytes,6537,6503,5.0497,5.1625,5.0665,3.4914,2.3947,2.2191,1.7734,1.0523,3.4997,3.0365,2.2211,1.1593,1.7824,1.7013,1.6246,1.4513,2.7012,2.7183,2.6507,2.4053,2.2142,2.2005,2.1129,1.8296
kas,Deva,kash1277,Kashmiri (Devanagari script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric,Kashmiri (Devanagari),kas_Deva,997,Devanagari,Abugida,3,3 bytes,6537,6503,2.6817,2.8632,3.1245,3.3934,3.4175,3.5916,3.6637,3.7096,3.8919,3.9662,4.1004,4.0648,2.4891,2.5959,2.6698,2.7143,3.387,3.5399,3.3938,3.5399,3.5243,3.6024,3.7319,3.8216
