Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification
ita,Latn,ital1282,Italian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Central Italian Romance
jav,Latn,java1254,Javanese,,Austronesian,Malayo-Polynesian,Javanesic,Austronesian > Malayo-Polynesian > Javanesic > Modern Javanese > Global Javanese
jpn,Jpan,nucl1643,Japanese,,Japonic,Japanesic,Japan-Taiwan Japanese,Japonic > Japanesic > Japan-Taiwan Japanese
kab,Latn,kaby1243,Kabyle,,Afro-Asiatic,Berber,Kabyle-Atlas Berber,Afro-Asiatic > Berber > Kabyle-Atlas Berber
kac,Latn,kach1280,Jingpho,,Sino-Tibetan,Brahmaputran,Jingpho-Luish,Sino-Tibetan > Brahmaputran > Jingpho-Luish > Jingpho
kam,Latn,kamb1297,Kamba,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Kamba-Dhaisu
kan,Knda,nucl1305,Kannada,,Dravidian,South Dravidian,South Dravidian I,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Badaga-Kannada > Kannadoid > Nuclear Kannaoid
kas,Arab,kash1277,Kashmiri (Arabic script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric
kas,Deva,kash1277,Kashmiri (Devanagari script),,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Kashmiric
kat,Geor,nucl1302,Georgian,,Kartvelian,Georgian-Zan,Georgic,Kartvelian > Georgian-Zan > Georgic
kaz,Cyrl,kaza1248,Kazakh,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > South Kipchak
kbp,Latn,kabi1261,Kabiyè,,Atlantic-Congo,Volta-Congo,North Volta-Congo,Atlantic-Congo > Volta-Congo > North Volta-Congo > Gur > Central Gur > Southern Central Gur > Grusi > East-West Grusi > Eastern Grusi > Kabiyeic
kea,Latn,kabu1256,Kabuverdianu,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance > Macro-Portuguese > Upper Guinea Portuguese
khk,Cyrl,halh1238,Halh Mongolian (Cyrillic script),,Mongolic-Khitan,Mongolic,Eastern Mongolic,Mongolic-Khitan > Mongolic > Eastern Mongolic > Khalkha-Buriat > Mongolian
khm,Khmr,cent1989,Khmer (Central),,Austroasiatic,Khmeric,,Austroasiatic > Khmeric
kik,Latn,kiku1240,Kikuyu,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Central Kenya Bantu > Gikuyu-Temi
kin,Latn,kiny1244,Kinyarwanda,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > Western Lakes Bantu > Kivu > West Highlands Kivu
kir,Cyrl,kirg1245,Kyrgyz,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Southeast Kipchak > East Kipchak
kjh,Cyrl,khak1248,Khakas,,Turkic,Common Turkic,South Siberian Turkic,Turkic > Common Turkic > South Siberian Turkic > Sayan-Yenisei Turkic > Yenisey Turkic
kmb,Latn,kimb1241,Kimbundu,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Northern Njila > Mbundu (H.20)
kmr,Latn,nort2641,Northern Kurdish,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish
knc,Arab,cent2050,Central Kanuri (Arabic script),,Saharan,Western Saharan,Kanuri-Kanembu,Saharan > Western Saharan > Kanuri-Kanembu > Kanuric > East Kanuri
knc,Latn,cent2050,Central Kanuri (Latin script),,Saharan,Western Saharan,Kanuri-Kanembu,Saharan > Western Saharan > Kanuri-Kanembu > Kanuric > East Kanuri
kor,Hang,kore1280,Korean,,Koreanic,,,Koreanic
ktu,Latn,kitu1246,Kituba (DRC),,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > West-Coastal Bantu > Nzadic > Lweric > Dingic > Loange-Atlantic > KLC Extended > Kikongo Language Cluster > Nuclear KLC > Kikongoic > Kambakunyic Kikongo > Kilaadic Kikongo > Central-Southern Kikongo > Southeastern Kikongo > Southern Kikongo > Koongo-Kituba
lao,Laoo,laoo1244,Lao,,Tai-Kadai,Kam-Tai,Daic-Beic,Tai-Kadai > Kam-Tai > Daic-Beic > Daic > Central-Southwestern Tai > Wenma-Southwestern Tai > Sapa-Southwestern Tai > Southwestern Tai > Southwestern Thai PH > Lao-Thai
