lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
oci_Latn,1.5726,1.5529,1.4587,1.2976
oci_Latn_aran1260,1.632,1.613,1.5077,1.2957
ory_Orya,3.8345,3.9396,4.0348,4.2264
pag_Latn,1.4754,1.4701,1.3961,1.1248
pan_Guru,3.9799,4.1185,4.2617,4.4046
pap_Latn,1.577,1.5625,1.4475,1.1412
pbt_Arab,2.3612,2.1771,1.7197,1.0023
pes_Arab,2.4587,2.331,1.963,1.357
plt_Latn,1.7969,1.7439,1.5832,1.2274
pol_Latn,1.4554,1.4411,1.3853,1.2864
por_Latn,1.3409,1.3233,1.2597,1.1986
prs_Arab,2.3752,2.2334,1.8514,1.2339
quy_Latn,1.5819,1.5497,1.4204,1.0994
ron_Latn,1.5321,1.5225,1.468,1.3855
run_Latn,1.7043,1.6804,1.5099,1.0743
rus_Cyrl,2.5777,2.4722,2.1252,1.5273
sag_Latn,1.6821,1.6588,1.524,1.1608
san_Deva,3.7124,3.81,3.8334,3.869
sat_Olck,4.4068,4.5493,4.6871,5.2499
scn_Latn,1.612,1.587,1.4582,1.1553
shn_Mymr,7.7727,8.0261,8.1877,7.7521
sin_Sinh,4.3972,4.4327,4.4426,4.5638
slk_Latn,1.4992,1.478,1.4239,1.2945
slv_Latn,1.4125,1.3917,1.3249,1.2033
smo_Latn,1.9415,1.9159,1.741,1.3351
sna_Latn,1.6302,1.5783,1.3956,0.997
snd_Arab,2.4244,2.4027,2.2242,1.5809
snd_Deva,3.6965,3.8728,3.9468,4.0025
som_Latn,1.6683,1.6407,1.508,1.1618
sot_Latn,1.8511,1.8047,1.6101,1.1562
spa_Latn,1.4533,1.4381,1.3643,1.2878
srd_Latn,1.6638,1.6333,1.5018,1.2486
srp_Cyrl,2.6389,2.5643,2.2703,1.7075
ssw_Latn,1.6262,1.576,1.3854,0.9737
sun_Latn,1.5614,1.5577,1.4738,1.1732
swe_Latn,1.323,1.3215,1.2855,1.2488
swh_Latn,1.6787,1.6794,1.5635,1.1757
szl_Latn,1.5124,1.4945,1.4202,1.2725
tam_Taml,5.0807,5.004,4.4632,4.082
taq_Latn,1.3901,1.3572,1.2412,1.0135
taq_Tfng,3.1819,3.2568,3.3577,3.7154
tat_Cyrl,2.8099,2.7529,2.4611,1.7524
tel_Telu,4.3126,4.4013,4.2509,4.132
tgk_Cyrl,3.0942,3.0433,2.7522,1.9715
tha_Thai,3.907,3.8641,3.9613,4.5722
tir_Ethi,3.7144,4.0399,4.5094,4.9362
tpi_Latn,1.8272,1.8125,1.7084,1.4185
tsn_Latn,1.905,1.8457,1.6244,1.1328
tso_Latn,1.8557,1.8175,1.6406,1.1998
tuk_Latn,1.5942,1.5269,1.3649,1.0091
tum_Latn,1.9976,1.9497,1.7329,1.2268
tur_Latn,1.6445,1.6595,1.619,1.4547
twi_Latn_akua1239,1.4379,1.3585,1.1674,0.8525
twi_Latn_asan1239,1.5132,1.434,1.2369,0.9202
tyv_Cyrl,3.2347,3.2382,3.0249,2.295
uig_Arab,2.7157,2.5262,1.9617,1.0023
ukr_Cyrl,2.5578,2.4482,2.1148,1.5066
umb_Latn,1.5418,1.5077,1.3493,0.9913
urd_Arab,2.444,2.2419,1.7456,0.9897
uzn_Latn,1.6026,1.5654,1.4414,1.0844
uzs_Arab,2.5716,2.376,1.9494,1.336
vec_Latn,1.4852,1.477,1.3908,1.2015
vie_Latn,1.635,1.6285,1.617,1.6374
vmw_Latn,1.782,1.7419,1.533,1.0406
war_Latn,1.8729,1.903,1.8597,1.5796
wol_Latn,1.4779,1.4632,1.3502,1.008
wuu_Hans,1.4807,1.5312,1.5627,1.4941
xho_Latn,1.5275,1.4889,1.3211,0.9426
ydd_Hebr,3.2125,3.4852,3.9305,4.7197
yor_Latn,1.8285,1.7488,1.5363,1.2445
yue_Hant,1.4584,1.5094,1.5449,1.5019
zgh_Tfng,3.3928,3.4681,3.5641,3.926
zsm_Latn,1.5043,1.4926,1.4268,1.2932
zul_Latn,1.5984,1.5597,1.3988,0.9927
