lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
chv_Cyrl,4.0586,3.7656,3.1438,2.0679
cjk_Latn,2.5153,2.3211,1.9272,1.2077
ckb_Arab,3.4371,2.8127,1.8439,0.8363
cmn_Hans,2.1349,2.0794,1.9575,1.6664
cmn_Hant,2.1165,2.0541,1.9357,1.6814
crh_Latn,2.4307,2.2916,2.0573,1.5961
cym_Latn,2.0328,1.7703,1.3696,0.8838
dan_Latn,1.7588,1.6773,1.5408,1.3481
dar_Cyrl,4.5131,4.3181,3.8051,2.6009
deu_Latn,1.5353,1.508,1.4691,1.4058
dgo_Deva,4.234,4.3182,4.4622,4.3144
dik_Latn,2.0907,1.9122,1.5793,1.0396
dyu_Latn,2.3824,2.158,1.7423,1.0408
dzo_Tibt,5.2209,5.3278,5.5101,5.7779
ekk_Latn,2.0683,1.8485,1.5006,0.9873
ell_Grek,4.3649,4.3176,4.1162,3.3801
eng_Latn,1.0,1.0,1.0,1.0
epo_Latn,2.1435,1.9809,1.68,1.1867
eus_Latn,2.1583,1.9339,1.5625,0.9853
ewe_Latn,2.2588,2.0024,1.5696,1.0139
fao_Latn,2.2381,1.9863,1.6029,1.1125
fij_Latn,2.7828,2.5793,2.1655,1.4225
fil_Latn,2.6581,2.5465,2.3134,1.8205
fin_Latn,1.9331,1.8106,1.6072,1.326
fon_Latn,2.5909,2.3257,1.8807,1.2866
fra_Latn,1.4162,1.3931,1.3542,1.2954
fur_Latn,2.2288,2.0845,1.7996,1.3403
fuv_Latn,2.2006,2.0426,1.7292,1.1268
gaz_Latn,2.5985,2.3887,2.0013,1.2773
gla_Latn,2.6365,2.3744,1.9164,1.2016
gle_Latn,2.4688,2.1935,1.7331,1.0552
glg_Latn,1.6892,1.6191,1.4892,1.2964
gom_Deva,4.1038,4.1855,4.3335,4.176
gug_Latn,2.2506,1.996,1.58,1.0231
guj_Gujr,4.1765,4.2583,4.3696,4.2084
