Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,char_raw_entropy_t_1.8320_bpp,char_raw_entropy_t_1.8320_pps,char_raw_entropy_t_1.8320_pps_premium,char_raw_entropy_t_1.9448_bpp,char_raw_entropy_t_1.9448_pps,char_raw_entropy_t_1.9448_pps_premium,char_raw_entropy_t_2.1167_bpp,char_raw_entropy_t_2.1167_pps,char_raw_entropy_t_2.1167_pps_premium,char_raw_entropy_t_2.4014_bpp,char_raw_entropy_t_2.4014_pps,char_raw_entropy_t_2.4014_pps_premium,char_raw_monotonicity_t_0.5206_bpp,char_raw_monotonicity_t_0.5206_pps,char_raw_monotonicity_t_0.5206_pps_premium,char_raw_monotonicity_t_0.6646_bpp,char_raw_monotonicity_t_0.6646_pps,char_raw_monotonicity_t_0.6646_pps_premium,char_raw_monotonicity_t_0.8922_bpp,char_raw_monotonicity_t_0.8922_pps,char_raw_monotonicity_t_0.8922_pps_premium,char_raw_monotonicity_t_1.2639_bpp,char_raw_monotonicity_t_1.2639_pps,char_raw_monotonicity_t_1.2639_pps_premium
bugi1244,bug,bug_Latn,997,,,,Buginese,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Bugis,Austronesian > Greater South Sulawesi,,,,,,,,,,,,,,,,,,,,,,,,
bulg1262,bul,bul_Cyrl,997,,565391748.0,562504908.0,Bulgarian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,,,,,,,,,,,,,,,,,,,,,,,,
stan1289,cat,cat_Latn,997,,437938570.0,434641260.0,Catalan,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,,,,,,,,,,,,,,,,,,,,,,,,
cebu1242,ceb,ceb_Latn,997,,4026407.0,4021798.0,Cebuano,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Bisayan,Austronesian > Greater Central Philippine > Bisayan,,,,,,,,,,,,,,,,,,,,,,,,
czec1258,ces,ces_Latn,997,,2097546956.0,2080674183.0,Czech,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,,,,,,,,,,,,,,,,,,,,,,,,
chuv1255,chv,chv_Cyrl,997,,,,Chuvash,Cyrl,Alphabet,2 bytes,Turkic,Turkic > Bolgar,Turkic > Bolgar,,,,,,,,,,,,,,,,,,,,,,,,
chok1245,cjk,cjk_Latn,997,,,,Chokwe,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda > Chokwe-Ngangela-Nyemba (K.20) > Chokwe-Lwena,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda,,,,,,,,,,,,,,,,,,,,,,,,
cent1972,ckb,ckb_Arab,997,,12098280.0,12051123.0,Central Kurdish,Arab,Abjad,2 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish,Indo-European > Indo-Iranian > Iranian-Nuristani > Central Iranian PBS,,,,,,,,,,,,,,,,,,,,,,,,
beij1234,cmn,cmn_Hans,997,,10899511187.0,10856245131.0,Mandarin Chinese (Standard Beijing),Hans,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,2.9112,40.3982,1.123,2.9391,40.014,1.2212,3.0027,39.1665,1.3595,3.161,37.2056,1.6178,6.7465,17.4323,0.4846,7.1167,16.5256,0.5047,7.7698,15.1364,0.5331,9.0369,13.014,0.5661
taib1240,cmn,cmn_Hant,997,,10899511187.0,10856245131.0,Mandarin Chinese (Taiwanese),Hant,Logographic,3 bytes,Sino-Tibetan,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,,,,,,,,,,,,,,,,,,,,,,,,
